ID,Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
35C5B5FD,[Hà Nội] CV/CVC/CVCC Kinh doanh sản phẩm bảo hiểm - Khối Ngân hàng Cá nhân (Mới),Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Lương: Cạnh tranh,15-10-2025,14-11-2025,https://careerviet.vn/vi/tim-viec-lam/ha-noi-cv-cvc-cvcc-kinh-doanh-san-pham-bao-hiem-khoi-ngan-hang-ca-nhan.35C5B5FD.html
35C5B5FD,[Hà Nội] CV/CVC/CVCC Kinh doanh sản phẩm bảo hiểm - Khối Ngân hàng Cá nhân (Mới),Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Lương: Cạnh tranh,15-10-2025,14-11-2025,https://careerviet.vn/vi/tim-viec-lam/ha-noi-cv-cvc-cvcc-kinh-doanh-san-pham-bao-hiem-khoi-ngan-hang-ca-nhan.35C5B5FD.html
35C5B5FB,Trưởng phòng đấu thầu đồng phục (Mới),Công Ty Cổ Phần Tập Đoàn Thời Trang Việt Nam,Hà Nội,Lương: 25 Tr - 30 Tr VND,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-dau-thau-dong-phuc.35C5B5FB.html
35C5B5FA,CVC/CVCC Nâng Cao Trải Nghiệm Khách Hàng - TA112 (Mới),Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Lương: Cạnh tranh,15-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/cvc-cvcc-nang-cao-trai-nghiem-khach-hang-ta112.35C5B5FA.html
35C5B5F9,Kỹ Sư Thiết Kế Khuôn Ép Nhựa (Mới),Công Ty Cổ Phần Nhựa Hà Nội,Hà Nội,Lương: 10 Tr - 15 Tr VND,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/ky-su-thiet-ke-khuon-ep-nhua.35C5B5F9.html
35C5B5F6,Chuyên viên Quản lý tài sản đảm bảo (Mới),Công Ty Quản Lý Nợ Và Khai Thác Tài Sản - Ngân Hàng TMCP Quân Đội,Hà Nội Hồ Chí Minh,Lương: 15 Tr - 30 Tr VND,15-10-2025,14-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-tai-san-dam-bao.35C5B5F6.html
35C5B3FC,TRƯỞNG PHÒNG MARKETING – TRUYỀN THÔNG (Mới),Công ty CP Thiết bị Y Sinh,Hồ Chí Minh,Lương: 20 Tr - 30 Tr VND,15-10-2025,Hôm nay,https://careerviet.vn/vi/tim-viec-lam/truong-phong-marketing-truyen-thong.35C5B3FC.html
35C5B5F3,Chuyên viên tố tụng/Xử lý nợ (Khánh Hòa) (Mới),Công Ty Quản Lý Nợ Và Khai Thác Tài Sản - Ngân Hàng TMCP Quân Đội,Khánh Hòa,Lương: Cạnh tranh,15-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-to-tung-xu-ly-no-khanh-hoa.35C5B5F3.html
35C5B5F2,Operation Specialist (Mới),CÔNG TY TNHH THIỀN,Hồ Chí Minh,Lương: Cạnh tranh,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/operation-specialist.35C5B5F2.html
35C5B5F1,Chuyên viên cấp cao/Chuyên gia Sản phẩm Khách hàng doanh nghiệp Lớn - Trung tâm Khách hàng Doanh nghiệp Lớn - Khối Khách hàng Doanh nghiệp (Mới),Ngân Hàng TMCP Quốc Dân (NCB),Hà Nội,Lương: Cạnh tranh,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cap-cao-chuyen-gia-san-pham-khach-hang-doanh-nghiep-lon-trung-tam-khach-hang-doanh-nghiep-lon-khoi-khach-hang-doanh-nghiep.35C5B5F1.html
35C5B5ED,Dược Sĩ Lâm Sàng (Mới),Công ty CP Bệnh Viện Đa Khoa Quốc Tế Vinmec,Hà Nội,Lương: Cạnh tranh,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/duoc-si-lam-sang.35C5B5ED.html
35C5B5EA,Dược sĩ Đại học (Mới),Công ty CP Bệnh Viện Đa Khoa Quốc Tế Vinmec,Hà Nội,Lương: Cạnh tranh,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/duoc-si-dai-hoc.35C5B5EA.html
35C5B2A6,NHÂN VIÊN KINH DOANH (Đồng Nai | Đà Nẵng | TP.HCM | ) (Mới),Công Ty TNHH Xe Nâng Bình Minh,Hồ Chí Minh Đà Nẵng Đồng Nai,Lương: 8 Tr - 30 Tr VND,15-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-dong-nai-da-nang-tp-hcm.35C5B2A6.html
35C5B5E9,Dược Sĩ Cao Đẳng (Mới),Công ty CP Bệnh Viện Đa Khoa Quốc Tế Vinmec,Hà Nội,Lương: Cạnh tranh,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/duoc-si-cao-dang.35C5B5E9.html
35C5B5E5,English Teacher For Kids  [District 9] (Mới),CareerViet's client,Hồ Chí Minh,Lương: 8 Tr - 10 Tr VND,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/english-teacher-for-kids-district-9.35C5B5E5.html
