Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
Trưởng Phòng Hành Chính Nhân Sự (Mới),"Công ty TNHH Sản xuất, lắp ráp Tuấn Nghĩa",Hà Nội,Lương: 23 Tr - 27 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-hanh-chinh-nhan-su.35C59A3F.html
Trưởng Phòng Hành Chính Nhân Sự (Mới),"Công ty TNHH Sản xuất, lắp ráp Tuấn Nghĩa",Hà Nội,Lương: 23 Tr - 27 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-hanh-chinh-nhan-su.35C59A3F.html
Nhân viên sự kiện (Mới),CÔNG TY CỔ PHẦN TẬP ĐOÀN ONSEN FUJI,Phú Thọ,Lương: 8 Tr - 12 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-su-kien.35C59A3D.html
Trưởng Phòng Kỹ Thuật (Nhà máy Dầu - Vinh) (Mới),Công Ty Cổ phần Tập Đoàn KIDO,Nghệ An,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-ky-thuat-nha-may-dau-vinh.35C59A3C.html
QUẢN LÝ KINH DOANH ETC (Mới),CÔNG TY TNHH DƯỢC PHẨM ĐẠI PHÚ AN,Hồ Chí Minh,Lương: 10 Tr - 30 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/quan-ly-kinh-doanh-etc.35C59A22.html
Chuyên viên Event (Mới),Công Ty Cổ Phần Tập Đoàn Sunshine,Hồ Chí Minh,Lương: 15 Tr - 25 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-event.35C59A35.html
Kế Toán Trưởng Tiếng Trung 会计长,CÔNG TY TNHH BSI FREIGHT VIỆT NAM,Hồ Chí Minh,Lương: 30 Tr - 45 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong-tieng-trung.35C576EE.html
Nhân viên chăm sóc khách hàng Kênh Call - Dự án Shopee (Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,"Lương: 6,8 Tr - 8 Tr VND",N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-kenh-call-du-an-shopee.35C599A2.html
Nhân viên chăm sóc khách hàng kênh chat - Dự án Shopee (Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,"Lương: 6,7 Tr - 7,8 Tr VND",N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-kenh-chat-du-an-shopee.35C599B9.html
Nhân viên Xử Lý Khiếu Nại (Dispute) – Dự án Shopee (Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,Lương: 7 Tr - 9 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-xu-ly-khieu-nai-dispute-du-an-shopee.35C59972.html
