Tên công việc,Tên công ty,Cấp bậc,Mức lương (VND),Ngày đăng tin,Ngày hết hạn,Link
"Chuyên Viên Quản Trị và Vận Hành Hệ Thống, Nhóm Mạng Truyền Thông",Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,Nhân viên,Thỏa thuận,2025-09-09,2025-10-09,https://www.vietnamworks.com/chuyen-vien-quan-tri-va-van-hanh-he-thong-nhom-mang-truyen-thong--1955880-jv
Nhân Viên Pháp Lý Thu Hồi Công Nợ,"Chailease International Leasing Co., Ltd",Nhân viên,Thỏa thuận,2025-09-09,2025-10-09,https://www.vietnamworks.com/nhan-vien-phap-ly-thu-hoi-cong-no--1955887-jv
"Quản Lý Thương Hiệu Nhãn Hàng Sữa Công Thức (Brand Manager) (Thu Nhập 1,000-2,000$ Tuỳ Theo Năng Lực)",Công Ty TNHH Thương Mại Vạn An,Trưởng phòng,1.000 - 2.000 VND,2025-09-10,2025-10-10,https://www.vietnamworks.com/quan-ly-thuong-hieu-nhan-hang-sua-cong-thuc-brand-manager-thu-nhap-1-000-2-000-tuy-theo-nang-luc--1956511-jv
Kỹ Sư Shopdrawing,Công Ty Cổ Phần Vinhomes,Nhân viên,700 - 1.000 VND,2025-09-18,2025-10-18,https://www.vietnamworks.com/ky-su-shopdrawing--1959410-jv
Senior Legal Compliance Specialist,Công Ty Cổ Phần Quản Lý Quỹ HD,Nhân viên,Thỏa thuận,2025-09-13,2025-10-13,https://www.vietnamworks.com/senior-legal-compliance-specialist-1957672-jv
Kỹ Sư Sản Xuất Công Đoạn (Production Process Engineers) | Có Xe Đưa Đón Từ Hà Nội,LS Electronics Vietnam,Nhân viên,Thỏa thuận,2025-09-13,2025-10-13,https://www.vietnamworks.com/ky-su-san-xuat-cong-doan-production-process-engineers-co-xe-dua-don-tu-ha-noi--1957705-jv
Nhân Viên Phòng Gia Công,"Hamaden Vietnam CO., LTD",Nhân viên,Thỏa thuận,2025-09-15,2025-10-15,https://www.vietnamworks.com/nhan-vien-phong-gia-cong--1942452-jv
[VietnamWorks] Nhân Viên Kinh Doanh (B2B),Navigos Group,Mới Tốt Nghiệp,400 - 500 VND,2025-09-16,2025-10-16,https://www.vietnamworks.com/vietnamworks-nhan-vien-kinh-doanh-b2b--1958304-jv
[HN] Nhân Viên Kinh Doanh - Telesales B2B,Navigos Group,Mới Tốt Nghiệp,Từ 400 VND,2025-09-16,2025-10-16,https://www.vietnamworks.com/hn-nhan-vien-kinh-doanh-telesales-b2b--1958298-jv
Chuyên Viên Kinh Doanh Tại VietnamWorks,Navigos Group,Mới Tốt Nghiệp,400 - 500 VND,2025-09-16,2025-10-16,https://www.vietnamworks.com/chuyen-vien-kinh-doanh-tai-vietnamworks-1958300-jv
"Chuyên Viên Quản Trị và Vận Hành Hệ Thống, Nhóm Mạng Truyền Thông",Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,Nhân viên,Thỏa thuận,2025-09-09,2025-10-09,https://www.vietnamworks.com/chuyen-vien-quan-tri-va-van-hanh-he-thong-nhom-mang-truyen-thong--1955880-jv
Nhân Viên Pháp Lý Thu Hồi Công Nợ,"Chailease International Leasing Co., Ltd",Nhân viên,Thỏa thuận,2025-09-09,2025-10-09,https://www.vietnamworks.com/nhan-vien-phap-ly-thu-hoi-cong-no--1955887-jv
"Quản Lý Thương Hiệu Nhãn Hàng Sữa Công Thức (Brand Manager) (Thu Nhập 1,000-2,000$ Tuỳ Theo Năng Lực)",Công Ty TNHH Thương Mại Vạn An,Trưởng phòng,1.000 - 2.000 VND,2025-09-10,2025-10-10,https://www.vietnamworks.com/quan-ly-thuong-hieu-nhan-hang-sua-cong-thuc-brand-manager-thu-nhap-1-000-2-000-tuy-theo-nang-luc--1956511-jv
Kỹ Sư Shopdrawing,Công Ty Cổ Phần Vinhomes,Nhân viên,700 - 1.000 VND,2025-09-18,2025-10-18,https://www.vietnamworks.com/ky-su-shopdrawing--1959410-jv
